Timestamp,GSR,HR,GyroX,GyroY,GyroZ
2025-09-13 17:11:56.543832,2639,68,4132,416,15996
2025-09-13 17:11:56.613749,2640,68,4276,352,15948
2025-09-13 17:11:56.681780,2645,68,4340,388,15956
2025-09-13 17:11:56.751420,2632,68,4140,416,16004
2025-09-13 17:11:56.837153,2640,68,3812,408,16120
2025-09-13 17:11:56.904278,2643,68,4064,428,16076
2025-09-13 17:11:56.974778,2645,68,4120,392,15924
2025-09-13 17:11:57.042198,2624,68,4184,352,15884
2025-09-13 17:11:57.113248,2637,68,4220,368,16208
2025-09-13 17:11:57.178584,2640,68,4092,376,15992
2025-09-13 17:11:57.244626,2643,68,4196,348,15836
2025-09-13 17:11:57.311353,2685,68,4280,352,15880
2025-09-13 17:11:57.377274,2655,68,4212,400,15984
2025-09-13 17:11:57.445783,2643,68,4092,496,15960
2025-09-13 17:11:57.511866,2639,68,3956,412,15916
2025-09-13 17:11:57.577869,2645,68,4032,532,15888
2025-09-13 17:11:57.644867,2642,68,4012,420,16008
2025-09-13 17:11:57.711326,2636,68,4088,408,15940
2025-09-13 17:11:57.793411,2640,68,4052,368,16012
2025-09-13 17:11:57.857771,2647,68,4100,432,15944
2025-09-13 17:11:57.921152,2640,68,4192,464,15996
